"DATE","Year","Month","Day","Tmin","Tmax","Prec","ssp","gcm","scenario_year","yday","season","id"
"2000-10-19 12:00:00",2000,10,19,14.84,18.87,6.78,"ssp126","ACCESS-CM2","2075",293,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-20 12:00:00",2000,10,20,10.24,18.31,1.32,"ssp126","ACCESS-CM2","2075",294,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-21 12:00:00",2000,10,21,12.58,18.48,0,"ssp126","ACCESS-CM2","2075",295,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-22 12:00:00",2000,10,22,8.37,13.47,4.43,"ssp126","ACCESS-CM2","2075",296,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-23 12:00:00",2000,10,23,0.35,10.18,4.43,"ssp126","ACCESS-CM2","2075",297,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-24 12:00:00",2000,10,24,2.6,12.07,1.25,"ssp126","ACCESS-CM2","2075",298,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-25 12:00:00",2000,10,25,1.38,14.71,0,"ssp126","ACCESS-CM2","2075",299,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-26 12:00:00",2000,10,26,3.53,18.94,0,"ssp126","ACCESS-CM2","2075",300,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-27 12:00:00",2000,10,27,4,18.65,0,"ssp126","ACCESS-CM2","2075",301,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-28 12:00:00",2000,10,28,9.01,18.45,6.6,"ssp126","ACCESS-CM2","2075",302,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-29 12:00:00",2000,10,29,11.65,18.93,4.52,"ssp126","ACCESS-CM2","2075",303,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-30 12:00:00",2000,10,30,9.43,16.77,0,"ssp126","ACCESS-CM2","2075",304,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-31 12:00:00",2000,10,31,8.93,15.81,0,"ssp126","ACCESS-CM2","2075",305,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-01 12:00:00",2000,11,1,7.23,14.4,0,"ssp126","ACCESS-CM2","2075",306,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-02 12:00:00",2000,11,2,4.87,21.46,0.26,"ssp126","ACCESS-CM2","2075",307,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-03 12:00:00",2000,11,3,4.02,14.62,1.48,"ssp126","ACCESS-CM2","2075",308,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-04 12:00:00",2000,11,4,8.21,17.99,5.69,"ssp126","ACCESS-CM2","2075",309,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-05 12:00:00",2000,11,5,9.22,15.5,1.75,"ssp126","ACCESS-CM2","2075",310,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-06 12:00:00",2000,11,6,10.26,13.93,15.46,"ssp126","ACCESS-CM2","2075",311,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-07 12:00:00",2000,11,7,7.47,11.07,0,"ssp126","ACCESS-CM2","2075",312,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-08 12:00:00",2000,11,8,4.12,14.71,0,"ssp126","ACCESS-CM2","2075",313,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-09 12:00:00",2000,11,9,8.63,16.1,0,"ssp126","ACCESS-CM2","2075",314,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-10 12:00:00",2000,11,10,6.31,15.18,0,"ssp126","ACCESS-CM2","2075",315,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-11 12:00:00",2000,11,11,7.96,15.65,0,"ssp126","ACCESS-CM2","2075",316,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-12 12:00:00",2000,11,12,6.87,15.04,0,"ssp126","ACCESS-CM2","2075",317,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-13 12:00:00",2000,11,13,13.02,16.2,11.36,"ssp126","ACCESS-CM2","2075",318,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-14 12:00:00",2000,11,14,14.73,18.94,0,"ssp126","ACCESS-CM2","2075",319,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-15 12:00:00",2000,11,15,11.67,20.77,0.4,"ssp126","ACCESS-CM2","2075",320,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-16 12:00:00",2000,11,16,10.26,18.94,0,"ssp126","ACCESS-CM2","2075",321,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-17 12:00:00",2000,11,17,6.47,18.24,0,"ssp126","ACCESS-CM2","2075",322,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-18 12:00:00",2000,11,18,7.6,16.62,3.95,"ssp126","ACCESS-CM2","2075",323,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-19 12:00:00",2000,11,19,8.04,16.37,2.98,"ssp126","ACCESS-CM2","2075",324,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-20 12:00:00",2000,11,20,11.87,19.63,0.89,"ssp126","ACCESS-CM2","2075",325,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-21 12:00:00",2000,11,21,12.44,18.37,0,"ssp126","ACCESS-CM2","2075",326,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-22 12:00:00",2000,11,22,9.36,16.41,0.93,"ssp126","ACCESS-CM2","2075",327,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-23 12:00:00",2000,11,23,5.58,15.19,0,"ssp126","ACCESS-CM2","2075",328,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-24 12:00:00",2000,11,24,9.68,15.1,0,"ssp126","ACCESS-CM2","2075",329,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-25 12:00:00",2000,11,25,6.79,14.11,2.41,"ssp126","ACCESS-CM2","2075",330,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-26 12:00:00",2000,11,26,4.51,9.56,2.63,"ssp126","ACCESS-CM2","2075",331,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-27 12:00:00",2000,11,27,5.57,10.62,3.79,"ssp126","ACCESS-CM2","2075",332,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-28 12:00:00",2000,11,28,7.06,13.38,0.66,"ssp126","ACCESS-CM2","2075",333,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-29 12:00:00",2000,11,29,6.47,10.55,1.55,"ssp126","ACCESS-CM2","2075",334,2001,"ssp126--ACCESS-CM2--2075"
"2000-11-30 12:00:00",2000,11,30,7.21,14.73,1.9,"ssp126","ACCESS-CM2","2075",335,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-01 12:00:00",2000,12,1,7.34,11.78,0,"ssp126","ACCESS-CM2","2075",336,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-02 12:00:00",2000,12,2,3.66,10.6,5.32,"ssp126","ACCESS-CM2","2075",337,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-03 12:00:00",2000,12,3,6.61,11.85,3.85,"ssp126","ACCESS-CM2","2075",338,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-04 12:00:00",2000,12,4,9.14,13.92,0.27,"ssp126","ACCESS-CM2","2075",339,2001,"ssp126--ACCESS-CM2--2075"
